File,SOH,seg_id,direction,I_A,C_rate,step_dur_s,OCV_V,R0_ohm,R1_ohm,tau1_s,C1_F,R2_ohm,tau2_s,C2_F,V1_0_mV,V2_0_mV,R0_jump_ohm,R0_consistent,rmse_mV,degenerate,n_points
cell003_cyc,NA,246,DCH,-1.408,-0.469,4320.3,3.5597,0.01957,0.01346,30.529,2268.2,0.00842,246.11,29231.6,-18.95,-11.86,0.01752,False,0.223,False,905
cell003_cyc,NA,248,CHA,1.408,0.469,4319.9,4.1065,0.02775,0.02247,27.17,1209.3,0.01613,232.89,14433.8,31.64,22.72,0.02352,False,0.392,False,908
cell003_cyc,NA,250,DCH,-1.408,-0.469,4320.3,3.5594,0.01941,0.01339,29.404,2196.4,0.00854,237.63,27811.1,-18.85,-12.03,0.0176,True,0.233,False,906
cell003_cyc,NA,252,CHA,1.408,0.469,4318.7,4.1064,0.02779,0.02245,26.874,1197.0,0.01623,230.98,14230.3,31.62,22.86,0.0236,False,0.397,False,908
cell003_cyc,NA,254,DCH,-1.408,-0.469,4320.3,3.5591,0.01981,0.01334,31.16,2335.1,0.00828,251.01,30328.9,-18.79,-11.65,0.0176,False,0.215,False,905
cell003_cyc,NA,256,CHA,1.408,0.469,4321.1,4.1064,0.02808,0.02236,27.879,1246.9,0.01596,235.29,14743.8,31.48,22.47,0.02399,False,0.368,False,907
cell003_cyc,NA,258,DCH,-1.408,-0.469,4320.3,3.5591,0.01957,0.01341,30.606,2282.1,0.00832,250.05,30041.2,-18.89,-11.72,0.0176,False,0.227,False,905
cell003_cyc,NA,260,CHA,1.408,0.469,4320.9,4.1065,0.02784,0.02248,27.353,1216.6,0.01604,234.2,14601.9,31.66,22.59,0.02376,False,0.387,False,908
cell003_cyc,NA,262,DCH,-1.408,-0.469,4320.3,3.5591,0.01945,0.01343,29.556,2200.7,0.00848,243.21,28686.5,-18.91,-11.94,0.0176,True,0.238,False,906
cell003_cyc,NA,264,CHA,1.408,0.469,4318.3,4.1063,0.02812,0.0224,27.663,1235.1,0.01602,235.49,14701.9,31.54,22.56,0.02376,False,0.379,False,908
cell003_cyc,NA,266,DCH,-1.408,-0.469,4320.3,3.5587,0.01955,0.01333,29.76,2232.9,0.00841,245.58,29195.9,-18.77,-11.84,0.0176,True,0.225,False,905
cell003_cyc,NA,268,CHA,1.408,0.469,4320.1,4.1063,0.02758,0.02265,26.592,1174.3,0.01621,232.33,14329.4,31.89,22.83,0.0236,False,0.417,False,909
cell003_cyc,NA,270,DCH,-1.408,-0.469,4320.4,3.5585,0.01976,0.01329,30.526,2296.1,0.0083,249.48,30072.3,-18.72,-11.68,0.01767,False,0.218,False,905
cell003_cyc,NA,272,CHA,1.408,0.469,4319.4,4.1063,0.02781,0.02255,26.751,1186.3,0.0162,231.7,14304.7,31.76,22.81,0.02383,False,0.402,False,908
cell003_cyc,NA,274,DCH,-1.408,-0.469,4320.3,3.5583,0.0197,0.01325,30.386,2293.5,0.00832,251.01,30154.9,-18.66,-11.72,0.0176,False,0.216,False,905
cell003_cyc,NA,276,CHA,1.408,0.469,4322.6,4.1065,0.02765,0.02253,26.502,1176.4,0.01625,230.73,14203.1,31.72,22.88,0.02368,False,0.408,False,909
cell003_cyc,NA,278,DCH,-1.408,-0.469,4320.4,3.5586,0.01968,0.01328,30.628,2306.4,0.00829,250.67,30254.4,-18.7,-11.67,0.0176,False,0.217,False,905
cell003_cyc,NA,280,CHA,1.408,0.469,4317.6,4.1063,0.02754,0.02266,26.091,1151.6,0.01631,229.03,14038.1,31.91,22.97,0.02368,False,0.43,False,909
cell003_cyc,NA,282,DCH,-1.408,-0.469,4320.4,3.558,0.0197,0.01325,30.306,2287.1,0.00827,249.9,30233.8,-18.66,-11.64,0.01767,False,0.215,False,905
cell003_cyc,NA,284,CHA,1.408,0.469,4321.3,4.1063,0.02784,0.02253,26.84,1191.2,0.01614,232.97,14435.2,31.73,22.73,0.02352,False,0.406,False,908
cell003_cyc,NA,286,DCH,-1.408,-0.469,4320.3,3.5581,0.01977,0.01324,30.897,2334.1,0.00817,252.13,30873.7,-18.64,-11.5,0.0176,False,0.215,False,905
